Flow ID;Src IP;Src Port;Dst IP;Dst Port;Protocol;Timestamp;Flow Duration;Tot Fwd Pkts;Tot Bwd Pkts;TotLen Fwd Pkts;TotLen Bwd Pkts;Fwd Pkt Len Max;Fwd Pkt Len Min;Fwd Pkt Len Mean;Fwd Pkt Len Std;Bwd Pkt Len Max;Bwd Pkt Len Min;Bwd Pkt Len Mean;Bwd Pkt Len Std;Flow Byts/s;Flow Pkts/s;Flow IAT Mean;Flow IAT Std;Flow IAT Max;Flow IAT Min;Fwd IAT Tot;Fwd IAT Mean;Fwd IAT Std;Fwd IAT Max;Fwd IAT Min;Bwd IAT Tot;Bwd IAT Mean;Bwd IAT Std;Bwd IAT Max;Bwd IAT Min;Fwd PSH Flags;Bwd PSH Flags;Fwd URG Flags;Bwd URG Flags;Fwd Header Len;Bwd Header Len;Fwd Pkts/s;Bwd Pkts/s;Pkt Len Min;Pkt Len Max;Pkt Len Mean;Pkt Len Std;Pkt Len Var;FIN Flag Cnt;SYN Flag Cnt;RST Flag Cnt;PSH Flag Cnt;ACK Flag Cnt;URG Flag Cnt;CWE Flag Count;ECE Flag Cnt;Down/Up Ratio;Pkt Size Avg;Fwd Seg Size Avg;Bwd Seg Size Avg;Fwd Byts/b Avg;Fwd Pkts/b Avg;Fwd Blk Rate Avg;Bwd Byts/b Avg;Bwd Pkts/b Avg;Bwd Blk Rate Avg;Subflow Fwd Pkts;Subflow Fwd Byts;Subflow Bwd Pkts;Subflow Bwd Byts;Init Fwd Win Byts;Init Bwd Win Byts;Fwd Act Data Pkts;Fwd Seg Size Min;Active Mean;Active Std;Active Max;Active Min;Idle Mean;Idle Std;Idle Max;Idle Min;Label
192.168.0.1-192.168.0.2-8999-48052-17;192.168.0.2;48052;192.168.0.1;8999;17;23/08/2018 02:51:12 PM;9984926,00;240,00;1,00;10497.0;51.0;58.0;24.0;4373750000000000,00;7990700000000000,00;51.0;51.0;51.0;0.0;10563900000000000,00;24136400000000000,00;4160390000000000,00;4997330000000000,00;47887.0;26.0;9943215.0;41603400000000000,00;5007820000000000,00;47887.0;26.0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1920,00;8,00;24036200000000000,00;0.10015096756851277;24.0;58.0;43797500000000000,00;7984700000000000,00;63755500000000000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0.0;4397930000000000,00;437375,00;51.0;0,00;0,00;0,00;0,00;0,00;0,00;240,00;10497,00;1,00;51,00;-1,00;-1,00;240,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Counter-Strike
192.168.0.1-192.168.0.2-8999-59919-17;192.168.0.2;59919;192.168.0.1;8999;17;23/08/2018 02:01:13 PM;9957357,00;235,00;1,00;10302.0;53.0;57.0;25.0;43838300000000000,00;7998890000000000,00;53.0;53.0;53.0;0.0;10399300000000000,00;23701100000000000,00;4237170000000000,00;8426300000000000,00;152590.0;127.0;9914597.0;4237010000000000,00;8444330000000000,00;152590.0;127.0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1880,00;8,00;23600600000000000,00;0.10042825621296897;25.0;57.0;43915600000000,00;800908000000000,00;6414540000000000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0.0;44101700000000000,00;43838300000000000,00;53.0;0,00;0,00;0,00;0,00;0,00;0,00;235,00;10302,00;1,00;53,00;-1,00;-1,00;235,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Counter-Strike
192.168.0.1-192.168.0.2-8999-49460-17;192.168.0.2;49460;192.168.0.1;8999;17;23/08/2018 12:58:37 PM;9986538,00;239,00;1,00;10549.0;33.0;60.0;24.0;4413810000000000,00;8031570000000000,00;33.0;33.0;33.0;0.0;10596300000000000,00;24032400000000000,00;4178470000000000,00;4285270000000000,00;50058.0;43.0;9944298.0;4178280000000000,00;4294200000000000,00;50058.0;43.0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1912,00;8,00;23932200000000000,00;0.10013480146973856;24.0;60.0;44045600000000000,00;8061870000000000,00;6499370000000000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0.0;44229200000000000,00;4413810000000000,00;33.0;0,00;0,00;0,00;0,00;0,00;0,00;239,00;10549,00;1,00;33,00;-1,00;-1,00;239,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Counter-Strike
192.168.0.1-192.168.0.2-8999-59979-17;192.168.0.2;59979;192.168.0.1;8999;17;23/08/2018 12:54:12 PM;9983748,00;236,00;1,00;10272.0;46.0;59.0;25.0;43525400000000000,00;8132110000000000,00;46.0;46.0;46.0;0.0;1033480000000000,00;2373860000000000,00;42304000000000000,00;26012300000000000,00;64140.0;21090.0;9941721.0;42305200000000000,00;2606720000000000,00;64140.0;21090.0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1888,00;8,00;23638400000000000,00;0.10016278455746279;25.0;59.0;43546200000000000,00;8100890000000000,00;6562440000000000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0.0;43730000000000000,00;4352540000000000,00;46.0;0,00;0,00;0,00;0,00;0,00;0,00;236,00;10272,00;1,00;46,00;-1,00;-1,00;236,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Counter-Strike
192.168.0.1-192.168.0.2-8999-36946-17;192.168.0.2;36946;192.168.0.1;8999;17;23/08/2018 02:59:30 PM;9974391,00;241,00;1,00;10384.0;30.0;59.0;23.0;430871000000000,00;8140730000000000,00;30.0;30.0;30.0;0.0;1044070000000000,00;24262100000000000,00;4138750000000000,00;584594000000000,00;51815.0;92.0;9938953.0;4141230000000000,00;5845450000000000,00;51815.0;92.0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1928,00;8,00;24161900000000000,00;0.10025674750468475;23.0;59.0;42979400000000000,00;8193150000000000,00;67127700000000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0.0;4315700000000000,00;43087100000000000,00;30.0;0,00;0,00;0,00;0,00;0,00;0,00;241,00;10384,00;1,00;30,00;-1,00;-1,00;241,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Counter-Strike
192.168.0.1-192.168.0.2-8999-45549-17;192.168.0.2;45549;192.168.0.1;8999;17;23/08/2018 03:37:41 PM;9957679,00;217,00;1,00;9342.0;33.0;57.0;24.0;4305070000000000,00;8142380000000000,00;33.0;33.0;33.0;0.0;9414840000000000,00;2189270000000000,00;4588790000000000,00;51845700000000000,00;805285.0;20988.0;9915529.0;4590520000000000,00;5196550000000000,00;805285.0;20988.0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1736,00;8,00;2179220000000000,00;0.10042500867923138;24.0;57.0;42958900000000000,00;8161400000000000,00;6660840000000000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0.0;4315600000000000,00;4305070000000000,00;33.0;0,00;0,00;0,00;0,00;0,00;0,00;217,00;9342,00;1,00;33,00;-1,00;-1,00;217,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Counter-Strike
192.168.0.1-192.168.0.2-8999-44703-17;192.168.0.2;44703;192.168.0.1;8999;17;23/08/2018 02:15:07 PM;9964141,00;226,00;1,00;9895.0;28.0;58.0;20.0;4378320000000000,00;8150900000000000,00;28.0;28.0;28.0;0.0;995871000000000,00;22781700000000000,00;4408910000000000,00;1707900000000000,00;241024.0;35.0;9922498.0;4410000000000000,00;17116300000000000,00;241024.0;35.0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1808,00;8,00;2268130000000000,00;0.1003598804954687;20.0;58.0;4364470000000000,00;8247870000000000,00;6802740000000000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0.0;4383700000000000,00;43783200000000000,00;28.0;0,00;0,00;0,00;0,00;0,00;0,00;226,00;9895,00;1,00;28,00;-1,00;-1,00;226,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Counter-Strike
192.168.0.1-192.168.0.2-8999-53288-17;192.168.0.2;53288;192.168.0.1;8999;17;23/08/2018 03:10:12 PM;4612072,00;106,00;1,00;4759.0;35.0;59.0;23.0;44896200000000000,00;8214890000000000,00;35.0;35.0;35.0;0.0;10394500000000000,00;23200000000000000,00;43510100000000000,00;12104500000000000,00;163966.0;23115.0;4569428.0;43518400000000000,00;1216220000000000,00;163966.0;23115.0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;848,00;8,00;2298320000000000,00;0.2168222872496353;23.0;59.0;4471300000000000,00;8247400000000000,00;6801960000000000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0.0;4513080000000000,00;4489620000000000,00;35.0;0,00;0,00;0,00;0,00;0,00;0,00;106,00;4759,00;1,00;35,00;-1,00;-1,00;106,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Counter-Strike
192.168.0.1-192.168.0.2-8999-54193-17;192.168.0.2;54193;192.168.0.1;8999;17;23/08/2018 04:28:27 PM;9957505,00;235,00;1,00;10306.0;49.0;57.0;25.0;43855300000000000,00;8230410000000000,00;49.0;49.0;49.0;0.0;10399200000000000,00;23700700000000000,00;4237240000000000,00;383412000000000,00;86461.0;6114.0;9914490.0;4236960000000000,00;38421100000000000,00;86461.0;6114.0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1880,00;8,00;236003000000000,00;0.10042676353162766;25.0;57.0;43898700000000000,00;820902000000000,00;6738800000000000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0.0;4408470000000000,00;4385530000000000,00;49.0;0,00;0,00;0,00;0,00;0,00;0,00;235,00;10306,00;1,00;49,00;-1,00;-1,00;235,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Counter-Strike
192.168.0.1-192.168.0.2-8999-43636-17;192.168.0.2;43636;192.168.0.1;8999;17;23/08/2018 10:16:21 AM;9991923,00;236,00;1,00;10252.0;30.0;58.0;21.0;43440700000000000,00;8293080000000000,00;30.0;30.0;30.0;0.0;102903000000000,00;23719200000000000,00;4233870000000000,00;7416160000000000,00;112403.0;200.0;9949452.0;42338100000000000,00;743199000000000,00;112403.0;200.0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1888,00;8,00;23619100000000000,00;0.10008083529066428;21.0;58.0;4332770000000000,00;8349040000000000,00;697065000000000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0.0;4351050000000000,00;43440700000000000,00;30.0;0,00;0,00;0,00;0,00;0,00;0,00;236,00;10252,00;1,00;30,00;-1,00;-1,00;236,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Counter-Strike
