Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.217.29.206-192.168.0.4-80-33116-6,192.168.0.4,33116,172.217.29.206,80,6,20/08/2018 09:45:33 AM,265730,5,5,314.0,373.0,174.0,0.0,62.8,86.82856672777686,373.0,0.0,74.6,166.81067112148432,2585.3309750498624,37.632183042938316,29525.555555555555,54850.619834946054,170093.0,211.0,231167.0,57791.74999999999,95124.74885249368,198734.0,318.0,265184.0,66296.0,69237.86557946453,170093.0,28624.0,0,0,0,0,160,176,18.816091521469158,18.816091521469158,0.0,373.0,62.45454545454545,120.87130646796506,14609.87272727273,0,1,0,0,0,0,0,0,1.0,68.7,62.8,74.6,0,0,0,0,0,0,5,314,5,373,-1,244,2,0,0,0,0,0,0,0,0,0,No Label
172.217.29.206-192.168.0.4-80-33118-6,192.168.0.4,33118,172.217.29.206,80,6,20/08/2018 09:45:34 AM,235073,5,5,314.0,373.0,174.0,0.0,62.8,86.82856672777686,373.0,0.0,74.6,166.81067112148432,2922.4964160069426,42.5399769433325,26119.222222222223,46832.70042336278,144970.0,95.0,207908.0,51977.00000000001,86399.18602625838,180148.0,95.0,234314.0,58578.5,57710.818734445274,144970.0,26956.0,0,0,0,0,160,176,21.26998847166625,21.26998847166625,0.0,373.0,62.45454545454545,120.87130646796506,14609.87272727273,0,1,0,0,0,0,0,0,1.0,68.7,62.8,74.6,0,0,0,0,0,0,5,314,5,373,-1,244,2,0,0,0,0,0,0,0,0,0,No Label
172.217.29.206-192.168.0.4-80-33120-6,192.168.0.4,33120,172.217.29.206,80,6,20/08/2018 09:45:34 AM,226564,5,5,314.0,373.0,174.0,0.0,62.8,86.82856672777686,373.0,0.0,74.6,166.81067112148432,3032.2557864444484,44.137638812874066,25173.777777777777,47509.82782219322,142819.0,123.0,198232.0,49558.0,68751.82059165173,146384.0,250.0,226164.0,56540.99999999999,60904.76175691574,143016.0,3415.0,0,0,0,0,160,176,22.068819406437033,22.068819406437033,0.0,373.0,62.45454545454545,120.87130646796506,14609.87272727273,0,1,0,0,0,0,0,0,1.0,68.7,62.8,74.6,0,0,0,0,0,0,5,314,5,373,-1,244,2,0,0,0,0,0,0,0,0,0,No Label
172.217.29.206-192.168.0.4-80-33122-6,192.168.0.4,33122,172.217.29.206,80,6,20/08/2018 09:45:34 AM,241978,5,5,314.0,373.0,174.0,0.0,62.8,86.82856672777686,373.0,0.0,74.6,166.81067112148432,2839.1010753043665,41.32607096512906,26886.444444444445,45249.5966725426,138573.0,113.0,196613.0,49153.25,79221.31319863781,166104.0,217.0,241517.0,60379.25,52705.46999047316,138573.0,27449.0,0,0,0,0,160,176,20.66303548256453,20.66303548256453,0.0,373.0,62.45454545454545,120.87130646796506,14609.87272727273,0,1,0,0,0,0,0,0,1.0,68.7,62.8,74.6,0,0,0,0,0,0,5,314,5,373,-1,244,2,0,0,0,0,0,0,0,0,0,No Label
172.217.29.206-192.168.0.4-80-33124-6,192.168.0.4,33124,172.217.29.206,80,6,20/08/2018 09:45:35 AM,359079,5,5,295.0,373.0,155.0,0.0,59.0,80.96295449154508,373.0,0.0,74.6,166.81067112148432,1860.3148610751396,27.849024866394306,39897.666666666664,62323.6788608471,174093.0,145.0,320631.0,80157.75,93050.1837554159,174309.0,145.0,358609.0,89652.25,66783.57252286424,174424.0,34259.0,0,0,0,0,160,176,13.924512433197153,13.924512433197153,0.0,373.0,60.727272727272734,119.24268607264004,14218.818181818182,0,1,0,0,0,0,0,0,1.0,66.8,59.0,74.6,0,0,0,0,0,0,5,295,5,373,-1,244,2,0,0,0,0,0,0,0,0,0,No Label
172.217.29.206-192.168.0.4-80-33126-6,192.168.0.4,33126,172.217.29.206,80,6,20/08/2018 09:45:35 AM,239283,5,5,307.0,373.0,167.0,0.0,61.4,84.6156013983237,373.0,0.0,74.6,166.81067112148432,2841.823280383479,41.79151882916881,26586.999999999996,49329.48526490014,152962.0,126.0,211548.0,52887.0,87320.39664744238,182282.0,168.0,238971.0,59742.75,62151.70487001945,152962.0,27517.0,0,0,0,0,160,176,20.895759414584404,20.895759414584404,0.0,373.0,61.81818181818182,120.24210425788314,14458.163636363639,0,1,0,0,0,0,0,0,1.0,68.0,61.4,74.6,0,0,0,0,0,0,5,307,5,373,-1,244,2,0,0,0,0,0,0,0,0,0,No Label
172.217.29.206-192.168.0.4-80-33128-6,192.168.0.4,33128,172.217.29.206,80,6,20/08/2018 09:45:35 AM,228940,5,5,309.0,373.0,169.0,0.0,61.8,85.24200842307741,373.0,0.0,74.6,166.81067112148432,2978.946448851227,43.679566698698345,25437.777777777777,46871.13417866528,145294.0,147.0,199572.0,49893.0,82920.72747309123,172904.0,204.0,228589.0,57147.25,58775.4408653535,145294.0,26452.0,0,0,0,0,160,176,21.839783349349172,21.839783349349172,0.0,373.0,61.999999999999986,120.41843712654637,14500.6,0,1,0,0,0,0,0,0,1.0,68.2,61.8,74.6,0,0,0,0,0,0,5,309,5,373,-1,244,2,0,0,0,0,0,0,0,0,0,No Label
172.217.29.206-192.168.0.4-80-33130-6,192.168.0.4,33130,172.217.29.206,80,6,20/08/2018 09:45:36 AM,225288,5,5,326.0,373.0,186.0,0.0,65.2,90.74800273284255,373.0,0.0,74.6,166.81067112148432,3102.695216789177,44.387628280245735,25031.999999999996,40086.98187379539,122047.0,117.0,196084.0,49021.0,78828.89534935777,165362.0,176.0,224663.0,56165.75,44382.30364589773,122047.0,29003.0,0,0,0,0,160,176,22.193814140122868,22.193814140122868,0.0,373.0,63.54545454545454,122.02734417855994,14890.672727272726,0,1,0,0,0,0,0,0,1.0,69.9,65.2,74.6,0,0,0,0,0,0,5,326,5,373,-1,244,2,0,0,0,0,0,0,0,0,0,No Label
172.217.29.206-192.168.0.4-80-33132-6,192.168.0.4,33132,172.217.29.206,80,6,20/08/2018 09:45:36 AM,232819,5,5,309.0,373.0,169.0,0.0,61.8,85.24200842307741,373.0,0.0,74.6,166.81067112148432,2929.314188275012,42.951820942448855,25868.777777777777,43332.34683171965,133397.0,139.0,202516.0,50629.00000000001,78689.80483307013,165878.0,139.0,232387.0,58096.75,50268.35410988375,133397.0,30082.0,0,0,0,0,160,176,21.475910471224427,21.475910471224427,0.0,373.0,61.999999999999986,120.41843712654637,14500.6,0,1,0,0,0,0,0,0,1.0,68.2,61.8,74.6,0,0,0,0,0,0,5,309,5,373,-1,244,2,0,0,0,0,0,0,0,0,0,No Label
172.217.29.206-192.168.0.4-80-33134-6,192.168.0.4,33134,172.217.29.206,80,6,20/08/2018 09:45:36 AM,233170,5,5,295.0,373.0,155.0,0.0,59.0,80.96295449154508,373.0,0.0,74.6,166.81067112148432,2864.8625466397907,42.887163871853154,25907.777777777777,43933.64538647396,135406.0,113.0,199010.0,49752.50000000001,78983.31402053643,165953.0,120.0,232921.0,58230.25,51469.82192427584,135406.0,30629.0,0,0,0,0,160,176,21.443581935926577,21.443581935926577,0.0,373.0,60.727272727272734,119.24268607264004,14218.818181818182,0,1,0,0,0,0,0,0,1.0,66.8,59.0,74.6,0,0,0,0,0,0,5,295,5,373,-1,244,2,0,0,0,0,0,0,0,0,0,No Label
