Flow ID;Src IP;Src Port;Dst IP;Dst Port;Protocol;Timestamp;Flow Duration;Tot Fwd Pkts;Tot Bwd Pkts;TotLen Fwd Pkts;TotLen Bwd Pkts;Fwd Pkt Len Max;Fwd Pkt Len Min;Fwd Pkt Len Mean;Fwd Pkt Len Std;Bwd Pkt Len Max;Bwd Pkt Len Min;Bwd Pkt Len Mean;Bwd Pkt Len Std;Flow Byts/s;Flow Pkts/s;Flow IAT Mean;Flow IAT Std;Flow IAT Max;Flow IAT Min;Fwd IAT Tot;Fwd IAT Mean;Fwd IAT Std;Fwd IAT Max;Fwd IAT Min;Bwd IAT Tot;Bwd IAT Mean;Bwd IAT Std;Bwd IAT Max;Bwd IAT Min;Fwd PSH Flags;Bwd PSH Flags;Fwd URG Flags;Bwd URG Flags;Fwd Header Len;Bwd Header Len;Fwd Pkts/s;Bwd Pkts/s;Pkt Len Min;Pkt Len Max;Pkt Len Mean;Pkt Len Std;Pkt Len Var;FIN Flag Cnt;SYN Flag Cnt;RST Flag Cnt;PSH Flag Cnt;ACK Flag Cnt;URG Flag Cnt;CWE Flag Count;ECE Flag Cnt;Down/Up Ratio;Pkt Size Avg;Fwd Seg Size Avg;Bwd Seg Size Avg;Fwd Byts/b Avg;Fwd Pkts/b Avg;Fwd Blk Rate Avg;Bwd Byts/b Avg;Bwd Pkts/b Avg;Bwd Blk Rate Avg;Subflow Fwd Pkts;Subflow Fwd Byts;Subflow Bwd Pkts;Subflow Bwd Byts;Init Fwd Win Byts;Init Bwd Win Byts;Fwd Act Data Pkts;Fwd Seg Size Min;Active Mean;Active Std;Active Max;Active Min;Idle Mean;Idle Std;Idle Max;Idle Min;Label
192,168,0,3-192,168,0,4-56699-8001-17;192,168,0,4;8001;192,168,0,3;56699;17;18/08/2018 03:36:20 PM;4772874;1;1;48,0;48,0;48,0;48,0;48,0;0,0;48,0;48,0;48,0;0,0;20,113,667,362,683,300;0,4190347367225701;4772874,0;0,0;4772874,0;4772874,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;0,20951736836128504;0,20951736836128504;48,0;48,0;48,0;0,0;0,0;0;0;0;0;0;0;0;0;1,0;72,0;48,0;48,0;0;0;0;0;0;0;1;48;1;48;-1;-1;1;0;0;0;0;0;0;0;0;0;VoIP
192,168,0,3-192,168,0,4-56698-8000-17;192,168,0,4;8000;192,168,0,3;56698;17;18/08/2018 03:36:28 PM;9970943;774;1;13725,0;13,0;112,0;13,0;1,773,255,813,953,480;2,113,535,628,508,280;13,0;13,0;13,0;0,0;1,377,803,483,582,240;777,258,479,965,235;12,882,355,297,157,600;19,830,501,530,240,500;65469,0;264,0;9970495,0;12,898,441,138,421,700;1,983,828,735,858,980;65469,0;264,0;0;0;0;0;0;0;0;0;0;6192;8;7,762,555,657,975,370;0,10029141676970774;13,0;112,0;17,720,360,824,742,200;21,109,432,788,301,800;4,456,081,526,438,310;0;0;0;0;0;0;0;0;0,0;17,743,225,806,451,600;17,732,558,139,534,800;13,0;0;0;0;0;0;0;774;13725;1;13;-1;-1;774;0;0;0;0;0;0;0;0;0;VoIP
192,168,0,3-192,168,0,4-56699-8001-17;192,168,0,4;8001;192,168,0,3;56699;17;18/08/2018 03:36:30 PM;9663283;2;1;96,0;48,0;48,0;48,0;48,0;0,0;48,0;48,0;48,0;0,0;14,901,767,856,741,800;0,3104534970154553;4831641,5;17,400,207,899,793,800;6062022,0;3601261,0;6062022,0;6062022,0;0,0;6062022,0;6062022,0;0;0;0;0;0;0;0;0;0;16;8;0,20696899801030355;0,10348449900515178;48,0;48,0;48,0;0,0;0,0;0;0;0;0;0;0;0;0;0,0;64,0;48,0;48,0;0;0;0;0;0;0;2;96;1;48;-1;-1;2;0;3601261,0;0,0;3601261,0;3601261,0;6062022,0;0,0;6062022,0;6062022,0;VoIP
192,168,0,3-192,168,0,4-56698-8000-17;192,168,0,4;8000;192,168,0,3;56698;17;18/08/2018 03:36:38 PM;9971452;773;1;13712,0;13,0;112,0;13,0;17,738,680,465,717,900;21,148,353,769,702,500;13,0;13,0;13,0;0,0;13,764,294,307,388,700;7,762,159,412,691,350;12,899,679,172,056,900;20,068,586,472,860,900;66289,0;265,0;9970739,0;12,915,465,025,906,700;20,076,794,017,169,500;66289,0;265,0;0;0;0;0;0;0;0;0;0;6184;8;7,752,130,782,959,190;0,10028629732159369;13,0;112,0;1,772,645,161,290,320;2,112,238,264,879,670;4,461,550,487,621,900;0;0;0;0;0;0;0;0;0,0;1,774,935,400,516,790;1,773,868,046,571,790;13,0;0;0;0;0;0;0;773;13712;1;13;-1;-1;773;0;0;0;0;0;0;0;0;0;VoIP
192,168,0,4-192,168,0,5-41525-5060-6;192,168,0,5;5060;192,168,0,4;41525;6;18/08/2018 03:36:28 PM;8240;1;2;2,0;4,0;2,0;2,0;2,0;0,0;4,0;0,0;2,0;28,284,271,247,461,900;7,281,553,398,058,250;3,640,776,699,029,120;4120,0;2,006,769,045,007,420;5539,0;2701,0;0;0;0;0;0;8240,0;8240,0;0,0;8240,0;8240,0;0;1;0;0;32;64;12,135,922,330,097,000;24,271,844,660,194,100;0,0;4,0;2,5;19,148,542,155,126,700;36,666,666,666,666,600;0;0;0;1;1;0;0;0;2,0;33,333,333,333,333,300;2,0;2,0;0;0;0;0;0;0;1;2;2;4;-1;465;1;0;0;0;0;0;0;0;0;0;VoIP
192,168,0,3-192,168,0,4-56698-8000-17;192,168,0,4;8000;192,168,0,3;56698;17;18/08/2018 03:36:48 PM;9962938;777;1;13764,0;13,0;112,0;13,0;17,714,285,714,285,700;2,109,650,663,136,260;13,0;13,0;13,0;0,0;13,828,250,261,117,700;7,808,941,498,983,530;12,822,314,028,314,000;2,009,194,892,025,520;72828,0;265,0;9962084,0;1,283,773,711,340,200;20,100,304,286,843,600;72828,0;265,0;0;0;0;0;0;0;0;0;0;6216;8;7,798,904,299,113,370;0,10037199870158783;13,0;112,0;1,770,218,228,498,070;2,107,072,514,073,600;4,439,754,579,564,470;0;0;0;0;0;0;0;0;0,0;17,724,935,732,647,800;17,714,285,714,285,700;13,0;0;0;0;0;0;0;777;13764;1;13;-1;-1;777;0;0;0;0;0;0;0;0;0;VoIP
192,168,0,3-192,168,0,4-56699-8001-17;192,168,0,4;8001;192,168,0,3;56699;17;18/08/2018 03:36:46 PM;8812293;2;1;96,0;48,0;48,0;48,0;48,0;0,0;48,0;48,0;48,0;0,0;1,634,080,936,709,660;0,34043352848117964;4406146,5;3,951,659,175,593,200;4685571,0;4126722,0;4126722,0;4126722,0;0,0;4126722,0;4126722,0;0;0;0;0;0;0;0;0;0;16;8;0,22695568565411975;0,11347784282705987;48,0;48,0;48,0;0,0;0,0;0;0;0;0;0;0;0;0;0,0;64,0;48,0;48,0;0;0;0;0;0;0;2;96;1;48;-1;-1;2;0;0;0;0;0;0;0;0;0;VoIP
192,168,0,3-192,168,0,4-56698-8000-17;192,168,0,4;8000;192,168,0,3;56698;17;18/08/2018 03:36:58 PM;9992428;781;1;13816,0;13,0;112,0;13,0;17,690,140,845,070,400;21,045,037,605,113,700;13,0;13,0;13,0;0,0;13,839,479,253,690,800;7,825,925,791,008,950;12,794,402,048,655,500;2,023,888,557,708,280;76695,0;266,0;9991789,0;12,809,985,897,435,800;20,247,182,358,588,300;76695,0;266,0;0;0;0;0;0;0;0;0;0;6248;8;7,815,918,213,271,080;0,10007577737863109;13,0;112,0;1,767,816,091,954,020;21,019,443,457,500,800;44,181,700,326,307,400;0;0;0;0;0;0;0;0;0,0;1,770,076,726,342,710;17,690,140,845,070,400;13,0;0;0;0;0;0;0;781;13816;1;13;-1;-1;781;0;0;0;0;0;0;0;0;0;VoIP
192,168,0,3-192,168,0,4-56699-8001-17;192,168,0,4;8001;192,168,0,3;56699;17;18/08/2018 03:37:01 PM;9374435;2;1;96,0;48,0;48,0;48,0;48,0;0,0;48,0;48,0;48,0;0,0;15,360,925,751,791,900;0,32001928649566613;4687217,5;11,631,050,951,313,400;5509657,0;3864778,0;3864778,0;3864778,0;0,0;3864778,0;3864778,0;0;0;0;0;0;0;0;0;0;16;8;0,21334619099711075;0,10667309549855537;48,0;48,0;48,0;0,0;0,0;0;0;0;0;0;0;0;0;0,0;64,0;48,0;48,0;0;0;0;0;0;0;2;96;1;48;-1;-1;2;0;0;0;0;0;5509657,0;0,0;5509657,0;5509657,0;VoIP
192,168,0,3-192,168,0,4-56698-8000-17;192,168,0,4;8000;192,168,0,3;56698;17;18/08/2018 03:37:08 PM;9980860;782;1;13829,0;13,0;112,0;13,0;17,684,143,222,506,400;21,032,228,893,056,800;13,0;13,0;13,0;0,0;1,386,854,439,397,000;7,845,015,359,397,880;12,763,248,081,841,400;20,365,853,345,967,100;76231,0;268,0;9980014,0;12,778,507,042,253,500;20,374,430,672,971,100;76231,0;268,0;0;0;0;0;0;0;0;0;0;6256;8;7,834,996,182,693,670;0,10019176704211862;13,0;112,0;17,672,193,877,551,000;21,006,681,228,314,200;44,128,065,622,800,800;0;0;0;0;0;0;0;0;0,0;1,769,476,372,924,640;17,684,143,222,506,300;13,0;0;0;0;0;0;0;782;13829;1;13;-1;-1;782;0;0;0;0;0;0;0;0;0;VoIP
