Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.3-192.168.0.4-56698-8000-17,192.168.0.4,8000,192.168.0.3,56698,17,18/08/2018 03:36:18 PM,9980127,777,1,13764.0,13.0,112.0,13.0,17.71428571428572,21.096506631362644,13.0,13.0,13.0,0.0,1380.4433550795497,77.95491981214268,12844.436293436285,20004.740917895797,73036.0,266.0,9979256.0,12859.865979381448,20013.016010072908,73036.0,266.0,0,0,0,0,0,0,0,0,0,6216,8,77.85472068642012,0.10019912572254842,13.0,112.0,17.70218228498074,21.070725140736066,443.975457956447,0,0,0,0,0,0,0,0,0.0,17.724935732647815,17.714285714285715,13.0,0,0,0,0,0,0,777,13764,1,13,-1,-1,777,0,0,0,0,0,0,0,0,0,No Label
192.168.0.3-192.168.0.4-56699-8001-17,192.168.0.4,8001,192.168.0.3,56699,17,18/08/2018 03:36:20 PM,4772874,1,1,48.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,20.113667362683366,0.4190347367225701,4772874.0,0.0,4772874.0,4772874.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.20951736836128504,0.20951736836128504,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,72.0,48.0,48.0,0,0,0,0,0,0,1,48,1,48,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/08/2018 03:35:51 PM,9111193,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21951022220690528,9111193.0,0.0,9111193.0,9111193.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10975511110345264,0.10975511110345264,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,9111193.0,0.0,9111193.0,9111193.0,No Label
192.168.0.3-192.168.0.4-56698-8000-17,192.168.0.4,8000,192.168.0.3,56698,17,18/08/2018 03:36:28 PM,9970943,774,1,13725.0,13.0,112.0,13.0,17.73255813953488,21.13535628508286,13.0,13.0,13.0,0.0,1377.803483582245,77.7258479965235,12882.355297157626,19830.501530240505,65469.0,264.0,9970495.0,12898.441138421738,19838.28735858981,65469.0,264.0,0,0,0,0,0,0,0,0,0,6192,8,77.62555657975379,0.10029141676970774,13.0,112.0,17.720360824742272,21.109432788301802,445.6081526438312,0,0,0,0,0,0,0,0,0.0,17.743225806451612,17.732558139534884,13.0,0,0,0,0,0,0,774,13725,1,13,-1,-1,774,0,0,0,0,0,0,0,0,0,No Label
192.168.0.3-192.168.0.4-56699-8001-17,192.168.0.4,8001,192.168.0.3,56699,17,18/08/2018 03:36:30 PM,9663283,2,1,96.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,14.901767856741856,0.3104534970154553,4831641.5,1740020.7899793899,6062022.0,3601261.0,6062022.0,6062022.0,0.0,6062022.0,6062022.0,0,0,0,0,0,0,0,0,0,16,8,0.20696899801030355,0.10348449900515178,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,64.0,48.0,48.0,0,0,0,0,0,0,2,96,1,48,-1,-1,2,0,3601261.0,0.0,3601261.0,3601261.0,6062022.0,0.0,6062022.0,6062022.0,No Label
192.168.0.3-192.168.0.4-56698-8000-17,192.168.0.4,8000,192.168.0.3,56698,17,18/08/2018 03:36:38 PM,9971452,773,1,13712.0,13.0,112.0,13.0,17.738680465717987,21.148353769702528,13.0,13.0,13.0,0.0,1376.4294307388734,77.62159412691352,12899.679172056916,20068.586472860956,66289.0,265.0,9970739.0,12915.465025906742,20076.794017169537,66289.0,265.0,0,0,0,0,0,0,0,0,0,6184,8,77.52130782959192,0.10028629732159369,13.0,112.0,17.72645161290323,21.12238264879677,446.1550487621908,0,0,0,0,0,0,0,0,0.0,17.74935400516796,17.73868046571798,13.0,0,0,0,0,0,0,773,13712,1,13,-1,-1,773,0,0,0,0,0,0,0,0,0,No Label
192.168.0.4-217.10.68.152-42977-3478-17,192.168.0.4,42977,217.10.68.152,3478,17,18/08/2018 03:36:26 PM,543732,2,4,56.0,292.0,28.0,28.0,28.0,0.0,88.0,28.0,73.0,30.0,640.0211869082563,11.03484805014235,108746.4,147016.88681338617,271673.0,102.0,275742.0,275742.0,0.0,275742.0,275742.0,543732.0,181244.0,156733.2829395212,271775.0,264.0,0,0,0,0,16,32,3.6782826833807833,7.356565366761567,28.0,88.0,53.714285714285715,32.071349029490925,1028.5714285714287,0,0,0,0,0,0,0,0,2.0,62.666666666666664,28.0,73.0,0,0,0,0,0,0,2,56,4,292,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
192.168.0.4-192.168.0.5-41525-5060-6,192.168.0.5,5060,192.168.0.4,41525,6,18/08/2018 03:36:28 PM,8240,1,2,2.0,4.0,2.0,2.0,2.0,0.0,4.0,0.0,2.0,2.8284271247461903,728.1553398058252,364.0776699029126,4120.0,2006.769045007422,5539.0,2701.0,0,0,0,0,0,8240.0,8240.0,0.0,8240.0,8240.0,0,1,0,0,32,64,121.35922330097087,242.71844660194174,0.0,4.0,2.5,1.9148542155126762,3.6666666666666665,0,0,0,1,1,0,0,0,2.0,3.3333333333333335,2.0,2.0,0,0,0,0,0,0,1,2,2,4,-1,465,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.3-192.168.0.4-56698-8000-17,192.168.0.4,8000,192.168.0.3,56698,17,18/08/2018 03:36:48 PM,9962938,777,1,13764.0,13.0,112.0,13.0,17.714285714285715,21.09650663136265,13.0,13.0,13.0,0.0,1382.8250261117755,78.08941498983533,12822.314028314027,20091.94892025524,72828.0,265.0,9962084.0,12837.73711340207,20100.304286843635,72828.0,265.0,0,0,0,0,0,0,0,0,0,6216,8,77.98904299113374,0.10037199870158783,13.0,112.0,17.70218228498075,21.07072514073607,443.9754579564471,0,0,0,0,0,0,0,0,0.0,17.724935732647815,17.714285714285715,13.0,0,0,0,0,0,0,777,13764,1,13,-1,-1,777,0,0,0,0,0,0,0,0,0,No Label
192.168.0.3-192.168.0.4-56699-8001-17,192.168.0.4,8001,192.168.0.3,56699,17,18/08/2018 03:36:46 PM,8812293,2,1,96.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,16.34080936709662,0.34043352848117964,4406146.5,395165.9175593209,4685571.0,4126722.0,4126722.0,4126722.0,0.0,4126722.0,4126722.0,0,0,0,0,0,0,0,0,0,16,8,0.22695568565411975,0.11347784282705987,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,64.0,48.0,48.0,0,0,0,0,0,0,2,96,1,48,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/08/2018 03:36:33 PM,2366327,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2677875881059548,1183163.5,1672650.4842950604,2365906.0,421.0,2365906.0,2365906.0,0.0,2365906.0,2365906.0,0,0,0,0,0,0,0,0,0,0,0,0.8451917254039699,0.42259586270198496,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.3-192.168.0.4-56698-8000-17,192.168.0.4,8000,192.168.0.3,56698,17,18/08/2018 03:36:58 PM,9992428,781,1,13816.0,13.0,112.0,13.0,17.690140845070424,21.045037605113713,13.0,13.0,13.0,0.0,1383.9479253690895,78.25925791008952,12794.402048655556,20238.88557708285,76695.0,266.0,9991789.0,12809.985897435898,20247.182358588358,76695.0,266.0,0,0,0,0,0,0,0,0,0,6248,8,78.15918213271088,0.10007577737863109,13.0,112.0,17.67816091954023,21.019443457500838,441.81700326307475,0,0,0,0,0,0,0,0,0.0,17.70076726342711,17.690140845070424,13.0,0,0,0,0,0,0,781,13816,1,13,-1,-1,781,0,0,0,0,0,0,0,0,0,No Label
192.168.0.3-192.168.0.4-56699-8001-17,192.168.0.4,8001,192.168.0.3,56699,17,18/08/2018 03:37:01 PM,9374435,2,1,96.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,15.360925751791974,0.32001928649566613,4687217.5,1163105.0951313472,5509657.0,3864778.0,3864778.0,3864778.0,0.0,3864778.0,3864778.0,0,0,0,0,0,0,0,0,0,16,8,0.21334619099711075,0.10667309549855537,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,64.0,48.0,48.0,0,0,0,0,0,0,2,96,1,48,-1,-1,2,0,0,0,0,0,5509657.0,0.0,5509657.0,5509657.0,No Label
192.168.0.3-192.168.0.4-56698-8000-17,192.168.0.4,8000,192.168.0.3,56698,17,18/08/2018 03:37:08 PM,9980860,782,1,13829.0,13.0,112.0,13.0,17.684143222506407,21.032228893056832,13.0,13.0,13.0,0.0,1386.854439397006,78.45015359397888,12763.248081841428,20365.853345967105,76231.0,268.0,9980014.0,12778.507042253517,20374.430672971128,76231.0,268.0,0,0,0,0,0,0,0,0,0,6256,8,78.34996182693676,0.10019176704211862,13.0,112.0,17.672193877551024,21.006681228314203,441.28065622800835,0,0,0,0,0,0,0,0,0.0,17.69476372924649,17.684143222506393,13.0,0,0,0,0,0,0,782,13829,1,13,-1,-1,782,0,0,0,0,0,0,0,0,0,No Label
192.168.0.3-192.168.0.4-56699-8001-17,192.168.0.4,8001,192.168.0.3,56699,17,18/08/2018 03:37:14 PM,8497437,2,1,96.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,16.946286274320126,0.35304763071500267,4248718.5,1464083.6823298386,5283982.0,3213455.0,3213455.0,3213455.0,0.0,3213455.0,3213455.0,0,0,0,0,0,0,0,0,0,16,8,0.23536508714333512,0.11768254357166756,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,64.0,48.0,48.0,0,0,0,0,0,0,2,96,1,48,-1,-1,2,0,0,0,0,0,5283982.0,0.0,5283982.0,5283982.0,No Label
192.168.0.4-217.10.68.152-42977-3478-17,192.168.0.4,42977,217.10.68.152,3478,17,18/08/2018 03:36:57 PM,542933,2,4,56.0,292.0,28.0,28.0,28.0,0.0,88.0,28.0,73.0,30.0,640.9630654242789,11.051087334901359,108586.6,147014.8893796135,271191.0,96.0,274774.0,274774.0,0.0,274774.0,274774.0,542933.0,180977.66666666666,155197.40418361814,271287.0,1773.0,0,0,0,0,16,32,3.683695778300453,7.367391556600906,28.0,88.0,53.714285714285715,32.071349029490925,1028.5714285714287,0,0,0,0,0,0,0,0,2.0,62.666666666666664,28.0,73.0,0,0,0,0,0,0,2,56,4,292,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
192.168.0.4-192.168.0.5-41525-5060-6,192.168.0.5,5060,192.168.0.4,41525,6,18/08/2018 03:36:58 PM,8350,1,2,2.0,4.0,2.0,2.0,2.0,0.0,4.0,0.0,2.0,2.8284271247461903,718.5628742514971,359.28143712574854,4175.0,2076.0655095637035,5643.0,2707.0,0,0,0,0,0,8350.0,8350.0,0.0,8350.0,8350.0,0,1,0,0,32,64,119.76047904191617,239.52095808383234,0.0,4.0,2.5,1.9148542155126762,3.6666666666666665,0,0,0,1,1,0,0,0,2.0,3.3333333333333335,2.0,2.0,0,0,0,0,0,0,1,2,2,4,-1,465,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.3-192.168.0.4-56698-8000-17,192.168.0.4,8000,192.168.0.3,56698,17,18/08/2018 03:37:18 PM,9952649,788,1,14006.0,13.0,112.0,13.0,17.7741116751269,21.22301835518247,13.0,13.0,13.0,0.0,1408.569718473946,79.27537683686022,12630.265228426406,20700.307219652906,75752.0,263.0,9952375.0,12645.96569250318,20708.77579933116,75752.0,263.0,0,0,0,0,0,0,0,0,0,6304,8,79.17490107407586,0.10047576278436023,13.0,112.0,17.762025316455695,21.19746202732452,449.33239639986493,0,0,0,0,0,0,0,0,0.0,17.784537389100127,17.774111675126903,13.0,0,0,0,0,0,0,788,14006,1,13,-1,-1,788,0,0,0,0,0,0,0,0,0,No Label
